Accident_ID,Location,Date,Time,Severity,Latitude,Longitude
1,Durbar Marg,2024-04-03,09:40,High,27.69978719561953,85.30933814978899
2,Kalanki,2024-09-05,02:51,High,27.704261932370823,85.31532095836943
3,Thamel,2024-06-25,00:36,High,27.706357574284787,85.2997761833963
4,Maitighar,2024-03-26,12:28,Medium,27.70686686683201,85.31419506829315
5,Kalanki,2024-11-30,04:27,Low,27.71879451705236,85.29593814180578
6,Maitighar,2024-06-21,06:44,Low,27.699819824994822,85.28229647948075
7,New Road,2024-07-12,08:31,Low,27.689751453908663,85.29287133753054
8,Thamel,2024-10-20,21:37,Medium,27.719621447211072,85.30627327985628
9,Maitighar,2024-11-04,14:27,High,27.7067110872752,85.30669316228486
10,Lazimpat,2024-09-29,07:38,Low,27.70752441695445,85.30639297003808
11,Thamel,2024-05-10,14:33,Low,27.70340119223276,85.28527288732683
12,Thamel,2024-10-26,21:46,Medium,27.715386080072843,85.30900777179964
13,New Road,2024-12-28,09:32,High,27.71856742134376,85.31136551543094
14,Thamel,2024-04-27,23:12,High,27.71971202091738,85.29545577210747
15,New Road,2024-07-07,08:19,High,27.71348332046436,85.31264221364364
16,Lazimpat,2024-03-11,13:26,Low,27.711619819908105,85.30218037473529
17,Durbar Marg,2024-12-20,14:45,Medium,27.71386652536793,85.31019489031965
18,New Road,2024-01-16,20:04,Low,27.698147276779,85.30941160301933
19,Kalanki,2024-04-04,14:09,High,27.69447826157111,85.31864411809312
20,New Road,2024-09-30,00:19,Low,27.69389127513773,85.31194366816237
21,Maitighar,2024-09-10,02:21,Medium,27.70167240409664,85.28258426515323
22,Koteshwor,2024-06-27,00:06,High,27.713280010286336,85.29347925620661
23,Koteshwor,2024-09-29,09:06,Low,27.683235489537417,85.31693697215297
24,Durbar Marg,2024-07-21,03:29,High,27.683502707239604,85.30147604177392
25,Ring Road,2024-08-04,12:43,Low,27.715141442451102,85.2964450062463
26,Koteshwor,2024-04-04,17:04,Low,27.69671268897456,85.3088184256297
27,Maitighar,2024-08-20,08:32,Medium,27.68324410719064,85.30246056168932
28,Lazimpat,2024-07-09,09:02,High,27.71254913268807,85.29908130776786
29,Maitighar,2024-05-03,09:00,High,27.68461327702542,85.31349421137031
30,Durbar Marg,2024-05-16,13:31,Medium,27.69518471006064,85.28639384623379
31,Thamel,2024-08-16,13:55,Low,27.688101444556377,85.30180754523886
32,Kalanki,2024-08-01,05:09,High,27.710456014775016,85.28423237087611
33,Durbar Marg,2024-03-22,12:09,Medium,27.71432097059776,85.29580501864628
34,Durbar Marg,2024-01-08,14:39,Medium,27.684775069881663,85.31990995323198
35,Durbar Marg,2024-04-13,14:27,High,27.70682930184504,85.28226758432407
36,New Road,2024-01-02,08:36,High,27.713326580947623,85.3017264577066
37,Koteshwor,2024-01-29,20:07,Low,27.69866274733633,85.29348246749771
38,Maitighar,2024-04-30,19:28,Medium,27.717145122930127,85.29939833622166
39,Ring Road,2024-04-24,05:36,Low,27.705318266647616,85.29328179734898
40,Maitighar,2024-12-11,09:05,Medium,27.698469665898017,85.2916644799545
41,Koteshwor,2024-03-26,06:59,High,27.704390025592307,85.2989564292071
42,Durbar Marg,2024-10-26,05:29,High,27.716839137015427,85.30756141581081
